Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-08-22 01:00:00+02:00;3637,819580078125;2025-08-22 04:00:00+02:00;3687,261332991809;2941,354651292923;5,8827093025858455;ATR stop;-45,85877922566234;14660,914477238952;Short;2;5;3
2025-08-25 18:00:00+02:00;3948,64697265625;2025-08-25 23:00:00+02:00;3757,009765625;2932,1828954477905;5,864365790895581;Time exit (5 bars);136,44142768205663;14797,355904921009;Short;2;5;5
2025-08-26 13:00:00+02:00;3797,931396484375;2025-08-26 14:00:00+02:00;3853,460168076131;2959,471180984202;5,918942361968404;ATR stop;-49,18876008257731;14748,167144838431;Short;2;5;1
2025-08-29 02:00:00+02:00;3837,4912109375;2025-08-29 07:00:00+02:00;3836,1376953125;2949,633428967686;5,899266857935372;Time exit (5 bars);-4,85890618616337;14743,308238652267;Short;2;5;5
2025-08-29 15:00:00+02:00;3711,64794921875;2025-08-29 20:00:00+02:00;3687,592041015625;2948,6616477304533;5,8973232954609065;Time exit (5 bars);13,213523123798613;14756,521761776066;Short;2;5;5
2025-08-30 02:00:00+02:00;3713,93603515625;2025-08-30 07:00:00+02:00;3762,767298248197;2951,3043523552133;5,902608704710427;ATR stop;-44,70670170202108;14711,815060074045;Short;2;5;5
2025-08-30 14:00:00+02:00;3737,68994140625;2025-08-30 19:00:00+02:00;3732,030029296875;2942,363012014809;5,884726024029618;Time exit (5 bars);-1,4291622124379915;14710,385897861606;Short;2;5;5
2025-08-31 08:00:00+02:00;3796,580322265625;2025-08-31 11:00:00+02:00;3829,469760142956;2942,0771795723213;5,884154359144643;ATR stop;-31,37110746280336;14679,014790398804;Short;2;5;3
2025-09-01 12:00:00+02:00;3759,635498046875;2025-09-01 17:00:00+02:00;3729,027099609375;2935,8029580797606;5,871605916159521;Time exit (5 bars);18,02970758127359;14697,044497980078;Short;2;5;5
2025-09-01 22:00:00+02:00;3660,565673828125;2025-09-02 03:00:00+02:00;3697,560546875;2939,4088995960155;5,878817799192031;Time exit (5 bars);-35,58544479700477;14661,459053183073;Short;2;5;5
2025-09-03 02:00:00+02:00;3703,7578125;2025-09-03 07:00:00+02:00;3710,9453125;2932,2918106366146;5,864583621273229;Time exit (5 bars);-11,554979283165785;14649,904073899907;Short;2;5;5
2025-09-05 01:00:00+02:00;3689,16015625;2025-09-05 06:00:00+02:00;3713,49609375;2929,9808147799813;5,859961629559963;Time exit (5 bars);-25,18789182632443;14624,716182073582;Short;2;5;5
2025-09-06 01:00:00+02:00;3674,11865234375;2025-09-06 06:00:00+02:00;3677,23583984375;2924,9432364147165;5,849886472829433;Time exit (5 bars);-8,331460248065383;14616,384721825516;Short;2;5;5
2025-09-06 11:00:00+02:00;3666,18994140625;2025-09-06 16:00:00+02:00;3667,015869140625;2923,276944365103;5,846553888730207;Time exit (5 bars);-6,5051164679194455;14609,879605357597;Short;2;5;5
2025-09-06 19:00:00+02:00;3646,352783203125;2025-09-07 00:00:00+02:00;3651,321533203125;2921,975921071519;5,8439518421430385;Time exit (5 bars);-9,825620298553428;14600,053985059043;Short;2;5;5
2025-09-07 01:00:00+02:00;3647,96826171875;2025-09-07 03:00:00+02:00;3671,6693904272397;2920,010797011809;5,840021594023618;ATR stop;-24,811554996989454;14575,242430062053;Short;2;5;2
2025-09-07 08:00:00+02:00;3656,7548828125;2025-09-07 10:00:00+02:00;3674,928738177568;2915,0484860124106;5,830096972024822;ATR stop;-20,31771543832015;14554,924714623734;Short;2;5;2
